Incident energy ; BROND-3.1 ; ENDF/B-VIII.0 ; JEFF-4.0 ; JENDL-4.0u ; TENDL-2019
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
2.673144E-5 ; 0.29489973088952154 ; 0.2947911113465465 ; 0.29450159 ; 0.2946503614954667 ; 0.2946719532097955
2.673149E-5 ; 0.2948994510860357 ; 0.2947908344486486 ; 0.29450132105590965 ; 0.2946500832048 ; 0.294671671
2.72009E-5 ; 0.2922726 ; 0.29219126160360354 ; 0.2919764201467395 ; 0.292037434768 ; 0.2921453139442729
2.7491E-5 ; 0.2907733538536314 ; 0.2905847 ; 0.29041600653443855 ; 0.29042279231999996 ; 0.29058400041906796
2.75E-5 ; 0.2907268415636717 ; 0.2905371 ; 0.2903675965981727 ; 0.2903727 ; 0.2905355625640978
2.75293E-5 ; 0.2905754182196917 ; 0.2903825 ; 0.2902099953612185 ; 0.2902254968 ; 0.2903778704362505
2.75586E-5 ; 0.2904239948757117 ; 0.2902281 ; 0.29005239412426426 ; 0.2900782936 ; 0.29022017830840324
2.759283E-5 ; 0.29024709313289815 ; 0.2900480989247312 ; 0.289868275 ; 0.28990632207999995 ; 0.290035953
2.761719E-5 ; 0.29012119986807383 ; 0.28992 ; 0.2897433328018824 ; 0.28978393744 ; 0.28991093871920126
2.773438E-5 ; 0.2895155581724761 ; 0.2893069 ; 0.2891422664555197 ; 0.28919517488 ; 0.28930952560069495
2.796875E-5 ; 0.2883043264616026 ; 0.2880922 ; 0.28794018505269486 ; 0.2880177 ; 0.28810675068317365
2.84375E-5 ; 0.28588181135953344 ; 0.2857079 ; 0.28553597095714456 ; 0.2856627 ; 0.28570114952863984
2.84821E-5 ; 0.2856513171226219 ; 0.2854892482026667 ; 0.285307218 ; 0.2854386296 ; 0.28547226459745645
2.848215E-5 ; 0.28565105872101093 ; 0.2854890030773333 ; 0.2853069734688879 ; 0.2854383784 ; 0.285472008
2.86411E-5 ; 0.2848296 ; 0.28470974964266665 ; 0.2845296090635098 ; 0.2846398136 ; 0.28469419510485316
2.9375E-5 ; 0.2814344334710457 ; 0.2811118 ; 0.2809403814000502 ; 0.2809527 ; 0.2811028966855496
2.939991E-5 ; 0.28131919488508544 ; 0.28099802706239996 ; 0.280818556 ; 0.2808389921605334 ; 0.280981001
