Incident energy ; JENDL/AD-2017 ; JEFF-4.0 ; ENDF/B-VIII.0 ; TENDL-2019
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
4.802208E-5 ; 11.22916 ; 4.4951833828554946E-20 ; 11.010555265493332 ; 11.225094617117518
4.883645E-5 ; 11.140724064207111 ; 4.4587E-20 ; 10.9174608304 ; 11.1300642
5.0E-5 ; 11.014369172583137 ; 4.409095376541524E-20 ; 10.78445 ; 11.000596401482866
5.041038E-5 ; 10.969804245915059 ; 4.3916E-20 ; 10.7421644448 ; 10.954933563482383
5.041043E-5 ; 10.96979881620032 ; 4.3915979685056816E-20 ; 10.7421592928 ; 10.954928
5.20348E-5 ; 10.793401501682482 ; 4.3256E-20 ; 10.574784208 ; 10.7825824
5.297013E-5 ; 10.69183 ; 4.2894026732259985E-20 ; 10.478407804799998 ; 10.687954533226199
5.3125E-5 ; 10.677312817375977 ; 4.283409194991056E-20 ; 10.46245 ; 10.672286247458334
5.37118E-5 ; 10.62230744019656 ; 4.2607E-20 ; 10.407097390719999 ; 10.612919358528368
5.371185E-5 ; 10.62230275330348 ; 4.260698156921655E-20 ; 10.40709267424 ; 10.6129143
5.54426E-5 ; 10.46006594936129 ; 4.1969E-20 ; 10.24383171904 ; 10.4459491
5.625E-5 ; 10.384381999915718 ; 4.168523245506033E-20 ; 10.16767 ; 10.371678728617317
5.722944E-5 ; 10.29257138876267 ; 4.1341E-20 ; 10.082675293772798 ; 10.281582899354184
5.722949E-5 ; 10.29256670186959 ; 4.13409832443131E-20 ; 10.0826709548288 ; 10.2815783
5.842801E-5 ; 10.18022 ; 4.09393427270016E-20 ; 9.978664731571198 ; 10.176451633491677
5.907359E-5 ; 10.127982113586834 ; 4.0723E-20 ; 9.9226420222208 ; 10.1198254
5.9375E-5 ; 10.103593158935524 ; 4.0626902666162426E-20 ; 9.896486 ; 10.094616140801929
6.097745E-5 ; 9.973928979309795 ; 4.0116E-20 ; 9.767990021360001 ; 9.960590801888326
6.09775E-5 ; 9.97392493349933 ; 4.0115984783172935E-20 ; 9.767986012 ; 9.96058662
6.25E-5 ; 9.850730004808778 ; 3.965263239911854E-20 ; 9.645901 ; 9.839164145574081
6.294238E-5 ; 9.81493429212955 ; 3.9518E-20 ; 9.614127852784 ; 9.80388344
6.444825E-5 ; 9.693085 ; 3.908224537351987E-20 ; 9.5059714506 ; 9.689367333741762
6.497092E-5 ; 9.656578083804678 ; 3.8931E-20 ; 9.468431618656 ; 9.64962012232378
6.497097E-5 ; 9.656574591456144 ; 3.893098621997412E-20 ; 9.468428027496001 ; 9.64961632
6.706453E-5 ; 9.510345767399134 ; 3.8354E-20 ; 9.318061848904001 ; 9.49780518
6.875E-5 ; 9.392620793630357 ; 3.7911068849212777E-20 ; 9.197006 ; 9.381264993473934
6.922592E-5 ; 9.35937922331701 ; 3.7786E-20 ; 9.1671910207232 ; 9.34835796720145
6.922597E-5 ; 9.359375730968472 ; 3.778598747046931E-20 ; 9.167187888371199 ; 9.34835451
